id,geologic_unit_gid,unit_link,strat_name_id,unit_id,addition,removal
497,,VATl;0,1392,,TRUE,FALSE
498,,TXQt;0,711,,FALSE,TRUE
499,,OKPfa;0,3308,,FALSE,TRUE
500,,KSPs;0,4167,,FALSE,TRUE
501,,KSPs;0,2662,,TRUE,FALSE
502,,UTTK;3,6977,,FALSE,TRUE
503,,MTCAu;0,2875,,FALSE,TRUE
504,,MTTv;0,4458,,TRUE,FALSE
505,,MTTv;0,4762,,TRUE,FALSE
506,,MTTv;0,4473,,TRUE,FALSE
507,,ILCA;0,609,,TRUE,FALSE
508,,ILCA;0,3976,,TRUE,FALSE
509,,ILCA;0,704,,TRUE,FALSE
510,,ILCA;0,3358,,TRUE,FALSE
511,,ILCA;0,583,,TRUE,FALSE
512,,ILCA;0,3330,,TRUE,FALSE
513,,WYTbs;0,114,,TRUE,FALSE
514,,NETw;0,2704,,TRUE,FALSE
518,,VAOeln;0,587,,TRUE,FALSE
